term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),20.733218019172277,0.4938036340566571,41.986766781860965,2.0418726696865605e-183,19.76348763672628,21.702948401618276
PeriodAfter June 2024,3.2046265012770645,0.6118885641544725,5.237271439621235,2.235406894643094e-7,2.0030012186576007,4.406251783896528
Month.L,-3.228276816933282,0.897650413307587,-3.5963630931088177,3.483901058814802e-4,-4.991080527891187,-1.4654731059753776
Month.Q,26.344642398228665,0.9873869424625213,26.681173575706506,4.985713282064491e-105,24.405614308316906,28.283670488140423
Month.C,4.7369196293969225,0.9622813809707634,4.92259304094427,1.0962289637508995e-6,2.8471937804324843,6.626645478361361
Month^4,-3.006640962152957,0.9321223327972742,-3.2255862308653285,0.0013232811764126377,-4.837140545244817,-1.1761413790610968
Month^5,-1.1105533041572482,0.9625655533917646,-1.15374303624727,0.2490500890986181,-3.000837210234864,0.7797306019203674
Month^6,-1.4275581019213393,0.9607373382253044,-1.4858984293858681,0.13781428287370326,-3.3142517634760447,0.45913555963336616
Month^7,-2.099354662099055,0.9394953298971745,-2.234555718684439,0.025802081201253158,-3.94433331906634,-0.2543760051317703
Month^8,0.06747309516362959,0.9510643446709995,0.07094482675298953,0.94346454414085,-1.800224765040336,1.935170955367595
Month^9,-1.8753295433913424,1.0069127351416005,-1.8624548860508927,0.06301178603381638,-3.852702337749064,0.10204325096637934
Month^10,0.41900486245545016,1.044086420903486,0.4013124335942134,0.6883283877301882,-1.6313695261081669,2.4693792510190673
Month^11,-0.8048207041282592,1.0336200638494413,-0.7786426872664604,0.4364872910870752,-2.834641286018856,1.2249998777623379
DayOfWeek.L,0.853954473673764,0.7060150870680809,1.209541395524622,0.2269159155027845,-0.532516247026969,2.240425194374497
DayOfWeek.Q,1.6432110734563345,0.7056382262814788,2.328687721632669,0.02019615032161588,0.25748043105700713,3.028941715855662
DayOfWeek.C,1.8966612766958177,0.7051155544368183,2.6898587965637732,0.007340685771126832,0.5119570560011113,3.2813654973905244
DayOfWeek^4,1.0947035210069231,0.704630780767488,1.5535845876823116,0.12079381963626382,-0.2890487023282309,2.478455744342077
DayOfWeek^5,1.3017129418924,0.7044108559258005,1.8479456001307235,0.06508629106820546,-0.08160739357046976,2.68503327735527
DayOfWeek^6,0.4139005630069097,0.7029336020936338,0.5888188610903485,0.556197248180338,-0.9665187449526418,1.7943198709664612
